Disease,Mortality_Rate
DM,5.74847949774377
HTN,5.4858934169279
CAD,4.577765140744953
CKD,14.387096774193548
HEART FAILURE,14.075860556895417
STEMI,9.44595821980018
AKI,16.210045662100455
